Author,Date,Region,Sentence,ModernSentence_1Shot,ModernSentence_3Shot,ModernSentence_5Shot,ModernSentence_7Shot,ModernSentence_NLLB
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","quella guerra ben fatta fu l'opera della sua mano perché etc. Et dall'altra parte Aiace era un cavaliere franco e prode in battaglia, di gran guisa, ma non era pieno di grande senno.","Quella guerra ben conclusa è un'opera d'arte perché etc. E dall'altra parte Aiace era un cavaliere francese e prode in battaglia, di gran valore, ma non era pieno di grande saggezza.","Quella guerra, ben che fosse stata ben fatta, era opera di fortuna; e dall'altra parte Aiace era un cavaliere franco e valoroso in battaglia, di gran qualità, ma non pieno di grande saggezza.","Quella guerra ben vinta fu considerata un'opera degna, perché... E dall'altra parte Aiace era un cavaliere francese e valoroso in battaglia, di gran valore, ma non era pieno di grande saggezza.","E dall'altra parte Aiaces era un cavaliere franco e bravo con le armi, in gran parte, ma non era pieno di grande senso"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe prendi vendetta, come dice la legge, ed a nessun cavaliere perdoni che peccare.","crudele, e per tutte le colpe prendi vendetta, come dice la legge, e non perdoni a nessun cavaliere che pecci.","crudele, e di tutte le colpe prendi vendetta, come dice la legge, ed a nessuno cavaliere perdoni che pecca.","Cruel, e punisca tutte le colpe con vendetta, come dice la legge, e non perdoni a nessun cavaliere che peccare commetta.","E' crudele, e da ogni colpa prende la sua vendetta, come dice la legge, e nessun cavaliere perdona il peccato."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato d'altra forza d'animo Ponzio Aufidiano, cavaliere romano.","Non fu ornato d'altro spirito Ponzio Aufidiano, cavaliere romano.","Non fu adornato dall'altra forza di animo Ponzio Aufidiano, cavaliere romano.","Non fu ornato da nessun'altra forza d'animo Ponzio Aufidiano, cavaliere romano.","Non di altra forza d'animo fu decorato Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non riterrò più i fatti.","Se questo piace a tutti e se il tempo abbia bisogno di avere Pompeo per cavaliere e non per compagno, non riterrò più i fatti.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non riterrò più i fatti.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non riterrò più i fatti.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompei come cavaliere e non come compagno, non tratterrò più i fati."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra essere dire apposta per far credere, la fine è credere per dire.","L'ufficio di questa arte sembra consistere nel dire appositamente per far credere, e la fine è credere per dire.","L'arte di questo mio compito sembra che sia dicere in modo appropriato per far credere, la fine è credere per dire.","L'ufficio di questa arte sembra che sia dire sempre in modo artificiale per far credere, e finisce per far credere il fatto di dire.","Il mestiere di questa arte sembra essere dire apertamente per far credere, fine è far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghi venti piúvoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,"Ecco e larghi venti piovani, che portano delle risolute nebbie; e potresti credere che tutto il cielo si sfondasse nel mare.","Ecco, con venti larghi e piacevoli, cadono delle risolute nebbie; e potresti credere che tutto il cielo precipitasse nel mare.",Ecco e larghi venti piuviosi portano le risolute nebbie; e potresti credere che tutto il cielo si abbattesse nel mare.,Ecco e larghe ventole cadono di nebbie risolute; e si potrebbe credere che tutto il cielo caduto nel mare
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però che ora chi spererebbe di quello che egli stesso questi che non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negare, stridono con gli occhi.","Però chi spererebbe che anche quei che non vogliono ancora credere in Cristo, già ci vedono tra noi, e perché non possono negarlo, stridono con le loro labbra.","Però, perché chi potrebbe sperare che coloro, che non vogliono ancora credere in Cristo, già ci vedono, e perché non possono negare, stridono con rabbia i loro denti.","Ma chi spererebbe che quegli stessi che non vogliono ancora credere nel Cristo, già vedono con noi, e perché non possono negare, stridono con gli occhi.","Eppure, chiunque abbia questa speranza è già morto insieme a noi. Eppure, perché non possono negarsi, strillano i loro denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I commerci dei morti e le prese dei vivi furono l'inganno di un re crudele.,I pregiudizi dei morti e la pressione dei vivi hanno ingannato un crudele re.,I traffici dei morti e le pressioni dei vivi fecero la frode di un re crudele.,I vendemmiamenti delle vittime e le pressioni dei vivi resero la frode di un crudele re.,Le vendite dei morti e le pressioni dei vivi fecero la truffa di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Acciocché quello, il quale ora, per la sua grande nobiltà, sia ferocissimo e onorato, egli d'ogni male afflitto e tormentato per l'impietatezza verso mio padre.","Acciocché quell'uomo, che ora per la sua grande nobiltà è crudele e onorato, sia da ogni male afflitto e tormentato a causa dell'impietà verso il mio padre.","Acciocché quell'uomo, il quale ora, per le sue grandi offese, è crudele e degno di rispetto, sia liberato da tutti i mali e i tormenti che lo affliggono a causa della sua impietà verso mio padre.","Acciocché quell'uomo, il quale, per la sua grande nobiltà, è ferito e onorato, sia da ogni male afflitto e tormentato, a causa dell'impietà verso mio padre.","Perché lui, che ora per le sue grandi reati è feroce e onorevole, egli di ogni male afflitto e tormentato dalla pietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, spesso a stare fermi nella bugia, incontra la verità.","Gli uomini spesso, a stare fermi nella menzogna, incontrano la verità.","Gli uomini, spesso in silenzio, pericolosi mentitori, incontrano la verità.","Gli uomini spesso, rimanendo fermo nelle loro bugie, incontrano la verità.",Gli uomini spesso a stare fermi nella menzogna incontra la verità.
